,0,1,2,3,4,5,6,7,8
0,Waterworks Name,Smith Mountain  Lake WTP,Vicker Heights,Bethel Woods  Subdivision,Walton Farms  Subdivision,Mountain  View  Elementary,Twin  Boulders  Subdivision,Keswick  Farms,Town of  Altavista
1,City/County,Bedford County,Montgomery  County,Montgomery  County,Montgomery  County,Rockbridge  County,Montgomery  County,Botetourt  County,Campbell  County
2,Source Type,SW,GW,GW,GW,GW,GW,GW,SW
3,Entry Point Name,SMITH  MOUNTAIN  LAKE WTP,ENTRY  POINT -  WELL,ENTRY  POINT -  WELL,ENTRY  POINT -  WELL,ENTRY  POINT -  WELL,ENTRY  POINT -  WELL,ENTRY  POINT -  WELL,ENTRY  POINT TAP  - SURFACE  WATER  PLANT
4,HFPO-DA,5 ng/L,*,*,*,*,*,*,5.3 ng/L
5,PFBA,*,2.1 ng/L,*,*,*,*,*,*
6,PFBS,*,*,5.2 ng/L,*,*,*,*,*
7,PFHxA,*,*,2.2 ng/L,2 ng/L,*,*,3.8 ng/L,2.1 ng/L
8,PFPeA,*,*,2.6 ng/L,2.3 ng/L,*,*,4.8 ng/L,2.5 ng/L
9,PFHxS,*,*,2.5 ng/L,*,2.1 ng/L,*,*,*
10,PFOS,*,*,2.5 ng/L,*,10 ng/L,2.4 ng/L,*,*
11,PFOA,*,*,2.7 ng/L,*,3 ng/L,2 ng/L,2.7 ng/L,*
